Date,News,Class,Link,Text
07:08,Прием заявок на участие в конкурсе «Прорыв года» продлен до конца лета,Экономика и предпринимательство,https://www.mos.ru//news/item/72577073/,"Члены экспертного совета определят победителей в десяти номинациях.
Прием заявок на участие в конкурсе «Прорыв года» продолжится до 28 августа. В этот период организаторы проведут серию образовательно-просветительских онлайн-мероприятий для московских бизнесменов. Как сообщила Наталья Сергунина, заместитель Мэра Москвы, в связи со сложившейся ситуацией подведение итогов конкурса перенесено с 25 мая на неопределенный срок.
«Впервые премия вручалась в прошлом году, и уже тогда в оргкомитет прислали 35 тысяч заявок. Несколько тысяч зрителей собрала церемония награждения. Итоги второго конкурса мы тоже обязательно подведем, но позже, когда ситуация будет подходящей. А пока решено продлить заявочную кампанию до конца лета, чтобы еще больше предпринимателей могли принять участие», — отметила Наталья Сергунина.
Оставить заявку на участие
Принять участие в премии «Прорыв года» могут представители малого и среднего бизнеса (МСП), зарегистрированного в Москве. Финалистов выберут москвичи с помощью голосования в проекте «Активный гражданин». Члены экспертного совета определят победителей в десяти номинациях.
Номинация «Молодой предприниматель года» объявлена для бизнесменов в возрасте до 30 лет включительно (на 1 января 2020 года). А для тех, кому уже исполнилось 55 лет (на 1 января 2019 года), предусмотрена номинация «Почетный предприниматель года».
Звание «Мама — успешный предприниматель года» будет присвоено женщине с одним или несколькими детьми, возраст которых не должен превышать 18 лет (к 1 января 2020 года). В номинации «Социальный предприниматель года» поборются субъекты МСП, которые реализуют социально ориентированные проекты. В номинации «Экспортер года» выберут лучшего предпринимателя, который экспортирует собственные товары и услуги.
В номинации «Франшиза года» объявят лучшего предпринимателя-франчайзера, который зарегистрировал в Москве собственный товарный знак и имеет действующие договоры коммерческой концессии/субконцессии, заключенные в период с 2018 по 2019 год. В номинации «Стартап года» выберут субъект МСП, зарегистрированный не ранее 1 января 2018 года, а в номинации «Гран-при года» — субъект МСП с самыми высокими темпами роста и развития.
История вопроса
Лучшие в бизнесе: начинается прием заявок на участие в конкурсе «Прорыв года» Москвичи выберут состав жюри премии для предпринимателей «Прорыв года»
Кроме того, в этом году были объявлены две новые номинации. Это «Креативный предприниматель года» — для проектов в модной индустрии, кинематографе, дизайне и музыке и «Цифровой предприниматель года» — для малого и среднего бизнеса в сфере программного обеспечения и инноваций.
Победитель в каждой из основных номинаций конкурса «Прорыв года» получит индивидуальную коммуникационную программу продвижения от Правительства Москвы. В нее войдут услуги по рекламе бизнеса на федеральных каналах и радиостанциях, digital-продвижению товаров и услуг, а также по размещению наружной рекламы на улицах Москвы.
Первый конкурс «Прорыв года» состоялся в 2019-м. В финал вышел 31 предприниматель. Лучших бизнесменов выбирали участники проекта «Активный гражданин» и совет при штабе по защите бизнеса. На конкурс поступило более 35 тысяч заявок."
16 апреля,Большинство скончавшихся от коронавируса имели сопутствующие заболевания,Здравоохранение,https://www.mos.ru//news/item/72760073/,"Фото: Пресс-служба Мэра и Правительства Москвы. Максим Мишин
Возраст умерших пациентов — от 29 до 88 лет.
В Москве скончались 14 пациентов, у которых был подтвержден диагноз «пневмония» и получен положительный результат тестов на коронавирусную инфекцию. Об этом сообщает оперативный штаб по контролю и мониторингу ситуации с коронавирусом.
Возраст умерших пациентов — от 29 до 88 лет. У 29-летнего и 39-летнего мужчин были диагнозы «двусторонняя субтотальная вирусно-бактериальная пневмония с геморрагическим компонентом». Большинство пациентов имели сопутствующие заболевания, среди которых гипертония, кардиосклероз, атеросклеротическая аневризма. У пятерых был сахарный диабет.
Трое пациентов находились на лечении в частных клиниках, еще один — в федеральном медицинском центре.
Оперативный штаб напоминает о необходимости неукоснительного соблюдения режима самоизоляции пожилым людям и лицам, имеющим хронические заболевания.
История вопроса
Оставайтесь дома: болезнь может протекать в тяжелой форме и у молодых пациентовНерабочие дни в Москве: какие ограничения действуют в городе
Сейчас в городе действует режим повышенной готовности. Не работают развлекательные заведения, салоны красоты, кафе и рестораны. Открыты только продовольственные магазины, аптеки, зоомагазины, службы доставки, салоны связи и непродовольственные магазины, где можно купить товары первой необходимости.
До 30 апреля всем необходимо оставаться дома. Выйти можно только при обращении за экстренной медицинской помощью и при иной прямой угрозе жизни и здоровью, для похода в ближайший магазин или аптеку, выгула собаки (не более 100 метров от дома), выноса мусора, а также проезда к месту работы (для тех, кто обязан ее посещать). В общественных местах горожане должны соблюдать дистанцию не менее полутора метров. Это требование не касается поездок на такси.
Узнать больше о профилактике коронавируса и методах борьбы с заболеванием можно по телефону горячей линии: +7 (495) 870-45-09 (ежедневно с 08:00 до 21:00), а также в спецпроекте mos.ru.
 "
16 апреля,Всем пациентам с ОРВИ врачи будут уделять повышенное внимание,Здравоохранение,https://www.mos.ru//news/item/72752073/,"Фото: mos.ru. Юлия Иванко
Всех, у кого проявляются симптомы ОРВИ, просят не выходить из дома, не заниматься самолечением, а сразу вызывать врача на дом.
В столице все случаи проявления ОРВИ будут считаться основанием для подозрения на коронавирусную инфекцию. Такие пациенты будут наблюдаться как потенциальные носители вируса, им выдадут предписание о необходимости соблюдать режим самоизоляции. Об этом сообщила Анастасия Ракова, заместитель Мэра Москвы по вопросам социального развития.
«Эпидемиологическая ситуация в Москве продолжает оставаться напряженной, мы ежедневно фиксируем рост новых случаев заболевших коронавирусной инфекцией, среди которых все меньше людей, приехавших из-за рубежа. Вирус активно распространяется уже внутри города. В связи с этим по рекомендации клинического комитета мы приняли решение о том, что все случаи ОРВИ будут расцениваться как подозрение на коронавирус», — отметила заммэра.
Состояние таких пациентов будет контролироваться врачами во время регулярных обзвонов. Это позволит вести динамические наблюдения в ежедневном режиме, а в случае ухудшения самочувствия — оперативно менять тактику лечения и принимать решение о необходимости госпитализации.
«Для того чтобы предотвратить распространение инфекции в городе, всем этим лицам в обязательном порядке будет выдаваться именное постановление главного санитарного врача о том, что они должны находиться в режиме изоляции 14 дней. Такое же постановление будет выдаваться и всем проживающим с ним лицам. Все эти меры мы принимаем для того, чтобы не допустить или максимально уменьшить количество тяжелых случаев заболевания коронавирусной инфекцией с одной стороны, с другой стороны — не ухудшить эпидемиологическую ситуацию в городе и обезопасить москвичей», — отметила Анастасия Ракова.
При подозрении на развитие пневмонии пациентов направят в амбулаторные центры для проведения компьютерной томографии легких, анализов крови и снятия электрокардиограммы.
На прошлой неделе 45 зданий поликлиник переоборудовали под центры для диагностики пациентов с ОРВИ, внебольничной пневмонией и подозрением на COVID-19. Они работают круглосуточно. В этих центрах за последние три дня провели семь тысяч КТ-исследований органов грудной клетки и в 30 процентах случаев выявили признаки вирусной пневмонии. Более трех тысяч пациентов получили противовирусные лекарства для лечения на дому, некоторых госпитализировали.
Эти меры позволят минимизировать контакты потенциальных носителей вируса, вовремя выявить заболевание и предотвратить дальнейшее распространение инфекции.
Всех, у кого проявляются симптомы ОРВИ, просят не выходить из дома, не заниматься самолечением, а сразу вызывать врача на дом.
Узнать больше о профилактике коронавируса и методах борьбы с заболеванием можно по телефону горячей линии: +7 (495) 870-45-09 (ежедневно с 08:00 до 21:00), а также в спецпроекте mos.ru.
Коронавирус: официальная информация"
16 апреля,Чернолощеный кувшин и нательные кресты XVI века: какие еще находки отреставрировали археологи,Археология и памятники архитектуры,https://www.mos.ru//news/item/72734073/,"Артефакты были обнаружены на территории Пушкинского музея и «Зарядья».
Археологи Москвы отреставрировали артефакты, найденные на территории Государственного музея изобразительных искусств имени А.С. Пушкина и парка «Зарядье». Среди них оказались медные нательные кресты и керамическая посуда двух видов — кухонная и столовая. Всего во время реставрационных работ в порядок привели более 200 находок.
«Научная реставрация археологических находок — очень значимый и всегда трудоемкий процесс. В условиях мастерских специалисты часто не один месяц скрупулезно работают над возвращением артефактам исторического облика. Особенно сложно воссоздавать керамические сосуды из перемешанных разноцветных черепков. В этот раз их у археологов было около 50 тысяч. Помимо посуды специалисты привели в порядок медные нательные кресты, самые ранние из которых относятся к XVI столетию. Их попадание в культурный слой связано, вероятно, с одним из пожаров того времени. Теперь эти находки полностью готовы к передаче в московские музеи», — рассказал руководитель столичного Департамента культурного наследия Алексей Емельянов.
Найденная кухонная посуда выполнена в белом и темных цветах. Так, белую использовали для хранения продуктов, а темную — для приготовления пищи.
Кроме того, в коллекции представлен образец парадной посуды — чернолощеный кувшин с блестящей поверхностью. Свой темный цвет она приобретала благодаря специальному обжигу и обработке камнем-галькой (лощение). Подобные столовые изделия пользовались в Москве особой популярностью, поскольку имитировали более дорогую — металлическую.
Алексей Емельянов добавил, что работы продолжаются. Специалисты приступают к реставрации уникальных наконечников стрел, которые нашли вместе с крестами. Предположительно наконечники относятся к 1571 году — времени, когда на Москву напал со своим войском крымский хан Девлет-Гирей."
16 апреля,Застройщики получат отсрочку по арендным платежам,Экономика и предпринимательство,https://www.mos.ru//news/item/72742073/,"Фото: mos.ru. Максим Денисов
Она коснется арендаторов земельных участков, где сейчас строят общественные и спортивные центры, технопарки, многофункциональные комплексы, образовательные и культурные объекты.
Новый пакет антикризисных мер, принятый в столице, включает инструменты поддержки девелоперских компаний. Они позволят застройщикам получить отсрочку по арендным платежам более чем на семь миллиардов рублей, а также освободят девелоперов от штрафных санкций еще на 0,8 миллиарда рублей.
«Инвесторы, арендующие у города земельные участки для строительства коммерческих объектов в рамках реализации масштабных инвестиционных проектов, смогут получить отсрочку по арендным платежам за второй квартал. При этом срок обращения максимально удобный: заявление можно подать до конца года», — рассказал Владимир Ефимов, заместитель Мэра Москвы по вопросам экономической политики и имущественно-земельных отношений, председатель оперативного штаба по экономическим вопросам.
Экономика Москвы, по его словам, достаточно стабильно проходит период адаптации к новым условиям. Накопленный запас прочности пока делает падение сравнительно небольшим — на 10–20 процентов по сравнению с аналогичным периодом прошлого года.
«Правительство Москвы реализует три пакета мер поддержки, налажены постоянное взаимодействие со всеми отраслями столичного бизнеса и мониторинг его состояния. Накануне заседания оперативного штаба по экономике Москвы мы анонсировали первые меры поддержки строительного комплекса, которые были выработаны вместе с крупнейшими девелоперами столицы», — отметил Владимир Ефимов.
История вопроса
Помощь в кредитовании: в столице приняли третий пакет мер поддержки бизнесаВ Москве утвердили первоочередные меры поддержки бизнеса
Беспроцентная отсрочка по аренде земли для строительства масштабных инвестпроектов 
Для возведения масштабных коммерческих объектов предприниматели арендуют городские земельные участки на шесть лет. Ставки, подлежащие оплате в первый год аренды участка, зависят от плотности застройки, в третий и последующие годы — она повышается от трех до восьми процентов от кадастра, также существуют рыночные ставки аренды.
Отсрочка коснется арендаторов земельных участков общей площадью 58 гектаров, на которых сейчас возводятся общественные центры, технопарки, многофункциональные комплексы, спортивные центры, образовательные и культурные объекты.
Также в рамках третьего пакета мер город предоставляет беспроцентную отсрочку до 31 декабря 2020 года платежей второго квартала 2020 года за изменение цели предоставления земельного участка по договорам аренды. Вводится мораторий на начисление процентов за рассрочку платежей второго квартала 2020 года за изменение цели предоставления земельного участка по договорам аренды. Кроме того, запланирован перенос повышенной арендной платы по платежам за изменение цели предоставления земельного участка за второй квартал 2020 года.
Собственники земельных участков при изменении вида их разрешенного использования для нового строительства также смогут получить отсрочку по платежам за второй квартал 2020 года.
Для освобождения от арендной платы инвесторам нужно обратиться онлайн или по почте в Департамент городского имущества, написав заявление с указанием номера договора аренды либо финансово-лицевого счета. Документы можно подать до 31 декабря 2020 года, после чего будет произведен перерасчет арендной платы.
История вопроса
Объем поддержки предприятий Москвы составил около 25 миллиардов рублейМеры поддержки: что делает город для бизнеса"
16 апреля,За стеклом: о работе кассиров в столичной подземке,Транспорт,https://www.mos.ru//news/item/72732073/,"Фото: mos.ru. Максим Денисов
Перед выходом на смену у кассиров измеряют температуру и спрашивают о самочувствии.
Пассажиропоток в московском метрополитене снизился на 80 процентов. Это связано с ограничениями, которые ввели в городе для борьбы с распространением коронавируса. Сейчас москвичи пользуются метро при крайней необходимости. Также подземкой пользуются горожане, которые работают на предприятиях, обеспечивающих жизнедеятельность столицы.
Сотрудники метро, взаимодействующие с пассажирами, принимают все необходимые меры безопасности. По словам Натальи Масловой, которая работает в метро уже 13 лет, все ответственно относятся к своему здоровью.
«Если у кого-то из сотрудников появилось недомогание еще дома, то он обязательно ставит в известность старшего кассира и не выходит на работу. Нужно крайне внимательно отнестись к своему здоровью и вызвать врача. Перед рабочей сменой у нас спрашивают о самочувствии. Затем измеряют температуру и заносят данные в специальный журнал. Раньше кассиры могли сидеть в соседних окнах. Теперь нас рассадили через окно друг от друга, чтобы строго соблюдалась дистанция полтора — два метра»
Наталья Маслова,
кассир московского метрополитена
Генеральную уборку на станциях проводят по ночам. Дополнительно сами кассиры дезинфицируют свои рабочие места в течение дня. Кроме того, все, к чему прикасаются пассажиры, тщательно обрабатывается специальными средствами раз в полтора — два часа. А каждый час дезинфицируют автоматы по продаже билетов.
Кассирам провели подробный инструктаж о личной гигиене и санитарных нормах. Сотрудники работают в перчатках, у каждого есть санитайзер. Маски необходимы старшим кассирам, которые в течение дня выходят к пассажирам. Остальные сотрудники сидят за прозрачным стеклом и общаются с пассажирами через переговорные устройства.
«Возле кассовых окон разместили яркие наклейки для соблюдения дистанции. Очередей в кассы нет, максимум — человек в одно окно. Но если к кассе подошли несколько пассажиров, то разметка хорошо работает. Соблюдать дистанцию сейчас жизненно необходимо», — говорит Наталья Маслова.
По словам кассира, большинство пассажиров используют маски и перчатки. Многие оплачивают проезд через автоматы по продаже билетов или сразу с помощью турникетов. Кроме того, пополнить баланс карты «Тройка» можно через приложение «Метро Москвы».
«Московское метро продолжает перевозки пассажиров, которые ежедневно спешат спасать жизни людей, продавать лекарства, продукты и товары первой необходимости. Если вы спускаетесь в метро по объяснимым причинам, принимайте все меры предосторожности, используйте маски и перчатки. Обезопасьте себя и окружающих», — добавляет Наталья Маслова.
История вопроса
Московский метрополитен обрабатывает пассажирскую зону генераторами горячего воздухаКак дезинфицируют поезда и тоннели в московском метро
Сейчас все жители столицы независимо от возраста должны оставаться дома. Покинуть место проживания можно только при обращении за экстренной медицинской помощью и при иной прямой угрозе жизни и здоровью, для похода в ближайший магазин или аптеку, выгула собаки (не более 100 метров от дома), выноса мусора, а также проезда до работы (для тех, кто обязан ее посещать). В общественных местах горожане обязаны соблюдать дистанцию не менее полутора метров. Это требование не касается поездок на такси.
«Самый важный совет для пассажиров — не выходить из дома, не пользоваться метро. Если вы не должны ездить на работу, если у вас нет острой необходимости, прислушайтесь... Пусть эта фраза немного избита, но она не теряет актуальности: мы работаем для вас, а вы для нас, пожалуйста, оставайтесь дома!» — призывает Наталья Маслова.
Узнать больше о профилактике коронавируса и методах борьбы с заболеванием можно, позвонив на горячую линию по телефону: +7 (495) 870-45-09, а также в спецпроекте mos.ru. 
Коронавирус: официальная информация"
16 апреля,На улице Зенитчиков в Митине построят автобусный парк,Транспорт,https://www.mos.ru//news/item/72723073/,"Проектное решение
Общая площадь всех зданий составит более 20 тысяч квадратных метров.
На улице Зенитчиков в Митине построят автобусный парк. Москомархитектура согласовала проектную документацию. 
В парке будет несколько зданий, оформленных в едином стиле. Их общая площадь составит более 20 тысяч квадратных метров.
«Все здания оформлены в едином, достаточно нейтральном стиле — для облицовки фасадов выбраны металлические кассеты двух цветов, ритмично чередующиеся с оконными проемами», — рассказал Сергей Кузнецов.
Парк будет состоять из производственного и административного корпусов. Также на его территории расположатся открытая и закрытая стоянки, автоматическая мойка и пост для дегазации баллонов. 
В автобусном парке будут обслуживать электробусы, курсирующие по улицам Москвы.
История вопроса
Более 30 миллионов пассажиров за полтора года: почему электробусы становятся популярнее у горожанЕще больше электробусов: зачем в столице устанавливают модульные тяговые подстанции"
16 апреля,Стационарные корпуса скорой помощи построят для пяти больниц,Строительство и реконструкция,https://www.mos.ru//news/item/72709073/,"Фото: Пресс-служба Мэра и Правительства Москвы. Денис Гришкин
Все они будут оснащены высокотехнологичным медицинским оборудованием.
На территориях столичных больниц построят пять стационарных корпусов скорой помощи. Их общая площадь составит порядка 80 тысяч квадратных метров, сообщил руководитель Департамента строительства Москвы Рафик Загрутдинов. 
Новые корпуса появятся на территориях:
— Научно-исследовательского института скорой помощи имени Н.В. Склифосовского — Большая Сухаревская площадь, дом 3 (с вертолетной площадкой);
— городской клинической больницы имени С.П. Боткина — 2-й Боткинский проезд, дом 5 (с вертолетной площадкой);
— городской клинической больницы № 15 имени О.М. Филатова — Вешняковская улица, дом 23;
— городской клинической больницы имени В.М. Буянова — Бакинская улица, дом 26;
— городской клинической больницы имени М.Е. Жадкевича — Можайское шоссе, дом 14.
Все комплексы будут оснащены высокотехнологичным медицинским оборудованием. В них будут оказывать первую медико-санитарную помощь, скорую помощь, а также лечить пациентов.
Специалисты оборудуют реанимационное отделение и операционный блок, лечебные палаты и лаборатории, а также отделения лучевой и функциональной диагностики. Проекты зданий разрабатывают в соответствии с международным стандартом JCI (Joint Commission International).
Внутренняя логистика будет устроена так, чтобы путь пациента от операционной, реанимации и противошоковых палат до кабинетов, где проводят ангиографию и компьютерную томографию, занимал как можно меньше времени. Зона распределения пациентов (триаж), разделенная на три потока (красный, желтый и зеленый), позволит в два раза сократить время между поступлением пострадавшего и началом медицинских процедур.
В специально предусмотренных зонах ожидания для сопровождающих будут работать комнаты для общения с врачами и психологами. Родственники пациентов смогут до двух дней находиться в мини-квартирах с душем, туалетом и кухней.
«В Москве реализуется масштабная программа развития учреждений здравоохранения и строительства новых больниц и поликлиник. Открытие скоропомощных комплексов позволит увеличить оперативность и повысить качество лечения при различных случаях, требующих экстренной помощи», — отметил Рафик Загрутдинов.
До конца 2020 года в столице введут в эксплуатацию семь объектов здравоохранения. 
История вопроса
Поликлиники и подстанции скорой помощи: где планируют открыть новые медучреждения"
16 апреля,Учебный корпус и ФОК построят в Бирюлеве Восточном по программе реновации,Московская программа реновации жилья,https://www.mos.ru//news/item/72708073/,"Также проектом предусмотрены благоустройство и озеленение территории.
В районе Бирюлево Восточное (ЮАО) в рамках программы реновации построят учебный корпус и физкультурно-оздоровительный комплекс. На данный момент разработан проект планировки территории. Об этом сообщил руководитель Департамента градостроительной политики города Москвы Сергей Левкин. 
«По программе реновации в третьем микрорайоне Загорье запланировано строительство учебного корпуса на 200 мест на участке школы № 1861 и физкультурно-оздоровительного комплекса в стилобатной части жилого дома», — отметил он.
Кроме того, специалисты благоустроят и озеленят территорию, а также оборудуют площадки для отдыха, игр и спорта.
По словам Сергея Левкина, в Бирюлеве Восточном сносу подлежат 17 жилых домов. Для переселения горожан в районе подобраны три стартовые площадки, которые располагаются по адресам: Касимовская улица, владение 39, корпус 2, Загорьевская улица, владение 2/1 и поселок Загорье, владение 3.
История вопроса
15 ответов на вопросы о программе реновации
Программа реновации стартовала летом 2017 года. В нее включено 5174 дома, в которых проживают более миллиона москвичей. Все они переедут в новые квартиры с отделкой комфорткласса, а желающие смогут купить дополнительную жилплощадь с десятипроцентной скидкой от размера доплаты.
Все о программе реновации
С 13 по 19 апреля указом Мэра Москвы в столице приостановлены строительные (ремонтные) работы за исключением строительства медицинских объектов, а также работ непрерывного цикла.
Дни до 30 апреля в России объявлены нерабочими. Такие меры необходимы для предупреждения распространения в стране коронавирусной инфекции. Все жители столицы независимо от возраста сейчас должны оставаться дома.
Узнать больше о профилактике коронавируса и методах борьбы с заболеванием можно по телефону горячей линии: +7 (495) 870-45-09 (ежедневно с 08:00 до 21:00), а также в спецпроекте mos.ru."
16 апреля,В Марфине ввели в эксплуатацию детскую поликлинику,Строительство и реконструкция,https://www.mos.ru//news/item/72714073/,"Фото: Пресс-служба Мэра и Правительства Москвы. Денис Гришкин
Она рассчитана на 320 посещений в смену.
Комитет государственного строительного надзора города Москвы выдал разрешение на ввод в эксплуатацию детской поликлиники № 71 в Марфине. Она расположена по адресу: улица Академика Комарова, дом 1г. 
«Поликлиника оснащена современным диагностическим оборудованием. С открытием поликлиники повысятся качество, комфорт и доступность медицинской помощи для жителей района Марфино», — рассказал председатель Комитета Олег Антосенко. 
Здание площадью 8,3 тысячи квадратных метров рассчитано на 320 посещений в смену. В поликлинике будут работать отделения для детей грудного возраста, дневной стационар, кабинеты функциональной диагностики, педиатрическое отделение, хирургические кабинеты. Также откроются молочно-раздаточный пункт, клинико-диагностическая лаборатория, отделение реабилитации с залом ЛФК, служебно-бытовые и хозяйственные помещения.
Здание оборудовано пандусами и лифтами. Прилегающую территорию планируют благоустроить.
«На строительстве поликлиники на улице Академика Комарова прошло свыше 30 проверок с участием специалистов Центра экспертиз, которые провели комплекс лабораторно-инструментальных исследований. Все нарушения участники строительства устраняли в установленные в предписаниях сроки», — отметил Олег Антосенко.
Поликлинику построили в рамках Адресной инвестиционной программы Москвы."
