Date,Hour,Minute,Weekday,Weekday_number,Is_lesson,Online_friends
27,16,0,Thursday,3,0,21
27,16,1,Thursday,3,0,25
27,16,2,Thursday,3,0,30
27,16,3,Thursday,3,0,31
27,16,4,Thursday,3,0,23
27,16,5,Thursday,3,0,24
27,16,6,Thursday,3,0,25
27,16,7,Thursday,3,0,23
27,16,8,Thursday,3,0,27
27,16,9,Thursday,3,0,24
27,16,10,Thursday,3,0,23
27,16,11,Thursday,3,1,27
27,16,12,Thursday,3,1,25
27,16,13,Thursday,3,1,22
27,16,14,Thursday,3,1,21
27,16,15,Thursday,3,1,31
27,16,16,Thursday,3,1,30
27,16,17,Thursday,3,1,29
27,16,18,Thursday,3,1,29
27,16,19,Thursday,3,1,24
27,16,20,Thursday,3,1,26
27,16,21,Thursday,3,1,23
27,16,22,Thursday,3,1,21
27,16,23,Thursday,3,1,20
27,16,24,Thursday,3,1,25
27,16,25,Thursday,3,1,29
27,16,26,Thursday,3,1,30
27,16,27,Thursday,3,1,30
27,16,28,Thursday,3,1,30
27,16,29,Thursday,3,1,25
27,16,30,Thursday,3,1,24
27,16,31,Thursday,3,1,24
27,16,32,Thursday,3,1,27
27,16,33,Thursday,3,1,25
27,16,34,Thursday,3,1,26
27,16,35,Thursday,3,1,28
27,16,36,Thursday,3,1,33
27,16,37,Thursday,3,1,30
27,16,38,Thursday,3,1,22
27,16,39,Thursday,3,1,26
27,16,40,Thursday,3,1,23
27,16,41,Thursday,3,1,22
27,16,42,Thursday,3,1,30
27,16,43,Thursday,3,1,33
27,16,44,Thursday,3,1,27
27,16,45,Thursday,3,1,24
27,16,46,Thursday,3,1,25
27,16,47,Thursday,3,1,26
27,16,48,Thursday,3,1,21
27,16,49,Thursday,3,1,26
27,16,50,Thursday,3,0,28
27,16,51,Thursday,3,0,27
27,16,52,Thursday,3,0,26
27,16,53,Thursday,3,0,22
27,16,54,Thursday,3,0,20
27,16,55,Thursday,3,0,18
27,16,56,Thursday,3,1,22
27,16,57,Thursday,3,1,25
27,16,58,Thursday,3,1,23
27,16,59,Thursday,3,1,29
27,17,0,Thursday,3,1,35
27,17,1,Thursday,3,1,32
27,17,2,Thursday,3,1,30
27,17,3,Thursday,3,1,36
27,17,4,Thursday,3,1,35
27,17,5,Thursday,3,1,34
27,17,6,Thursday,3,1,35
27,17,7,Thursday,3,1,31
27,17,8,Thursday,3,1,26
27,17,9,Thursday,3,1,28
