Date,Hour,Minute,Weekday,Weekday_number,Is_lesson,Online_friends
2,22,5,Monday,0,0,32
2,22,6,Monday,0,0,34
2,22,7,Monday,0,0,31
2,22,8,Monday,0,0,33
2,22,9,Monday,0,0,36
2,22,10,Monday,0,0,37
2,22,11,Monday,0,0,38
2,22,12,Monday,0,0,42
2,22,13,Monday,0,0,39
2,22,14,Monday,0,0,43
2,22,15,Monday,0,0,40
2,22,16,Monday,0,0,41
2,22,17,Monday,0,0,42
2,22,18,Monday,0,0,44
2,22,19,Monday,0,0,41
2,22,20,Monday,0,0,46
2,22,21,Monday,0,0,47
2,22,22,Monday,0,0,44
2,22,23,Monday,0,0,48
2,22,24,Monday,0,0,50
2,22,25,Monday,0,0,49
2,22,26,Monday,0,0,49
2,22,27,Monday,0,0,47
2,22,28,Monday,0,0,46
2,22,29,Monday,0,0,48
2,22,30,Monday,0,0,47
2,22,31,Monday,0,0,47
2,22,32,Monday,0,0,47
2,22,33,Monday,0,0,49
2,22,34,Monday,0,0,46
2,22,35,Monday,0,0,44
2,22,36,Monday,0,0,39
2,22,37,Monday,0,0,38
2,22,38,Monday,0,0,41
2,22,39,Monday,0,0,37
2,22,40,Monday,0,0,43
2,22,41,Monday,0,0,47
2,22,42,Monday,0,0,48
2,22,43,Monday,0,0,47
2,22,44,Monday,0,0,46
2,22,45,Monday,0,0,47
2,22,46,Monday,0,0,44
2,22,47,Monday,0,0,41
2,22,48,Monday,0,0,39
2,22,49,Monday,0,0,39
2,22,50,Monday,0,0,39
2,22,51,Monday,0,0,37
2,22,52,Monday,0,0,37
2,22,53,Monday,0,0,40
2,22,54,Monday,0,0,42
2,22,55,Monday,0,0,44
2,22,56,Monday,0,0,41
2,22,57,Monday,0,0,36
2,22,58,Monday,0,0,36
2,22,59,Monday,0,0,35
2,23,0,Monday,0,0,35
2,23,1,Monday,0,0,33
2,23,2,Monday,0,0,34
2,23,3,Monday,0,0,35
2,23,4,Monday,0,0,34
2,23,5,Monday,0,0,33
2,23,6,Monday,0,0,30
2,23,7,Monday,0,0,30
2,23,8,Monday,0,0,28
2,23,9,Monday,0,0,22
2,23,10,Monday,0,0,22
2,23,11,Monday,0,0,24
2,23,12,Monday,0,0,25
2,23,13,Monday,0,0,26
2,23,14,Monday,0,0,28
2,23,15,Monday,0,0,29
2,23,16,Monday,0,0,32
2,23,17,Monday,0,0,36
2,23,18,Monday,0,0,33
2,23,19,Monday,0,0,29
2,23,20,Monday,0,0,28
2,23,21,Monday,0,0,33
2,23,22,Monday,0,0,33
2,23,23,Monday,0,0,31
2,23,24,Monday,0,0,31
2,23,25,Monday,0,0,30
2,23,26,Monday,0,0,28
2,23,27,Monday,0,0,27
2,23,28,Monday,0,0,27
2,23,29,Monday,0,0,30
2,23,30,Monday,0,0,27
2,23,31,Monday,0,0,27
2,23,32,Monday,0,0,27
2,23,33,Monday,0,0,23
2,23,34,Monday,0,0,22
2,23,35,Monday,0,0,20
2,23,36,Monday,0,0,20
2,23,37,Monday,0,0,21
2,23,38,Monday,0,0,19
2,23,39,Monday,0,0,20
2,23,40,Monday,0,0,25
2,23,41,Monday,0,0,24
2,23,42,Monday,0,0,26
2,23,43,Monday,0,0,25
2,23,44,Monday,0,0,22
2,23,45,Monday,0,0,19
2,23,46,Monday,0,0,21
2,23,47,Monday,0,0,22
2,23,48,Monday,0,0,24
2,23,49,Monday,0,0,23
2,23,50,Monday,0,0,26
2,23,51,Monday,0,0,25
2,23,52,Monday,0,0,24
2,23,53,Monday,0,0,24
2,23,54,Monday,0,0,22
2,23,55,Monday,0,0,22
2,23,56,Monday,0,0,23
2,23,57,Monday,0,0,23
2,23,58,Monday,0,0,23
2,23,59,Monday,0,0,24
3,0,0,Tuesday,1,0,23
3,0,1,Tuesday,1,0,25
3,0,2,Tuesday,1,0,27
3,0,3,Tuesday,1,0,27
3,0,4,Tuesday,1,0,24
3,0,5,Tuesday,1,0,26
3,0,6,Tuesday,1,0,24
3,0,7,Tuesday,1,0,22
3,0,8,Tuesday,1,0,21
3,0,9,Tuesday,1,0,20
3,0,10,Tuesday,1,0,21
3,0,11,Tuesday,1,0,20
3,0,13,Tuesday,1,0,17
3,0,14,Tuesday,1,0,20
3,0,15,Tuesday,1,0,20
3,0,16,Tuesday,1,0,19
3,0,17,Tuesday,1,0,20
3,0,18,Tuesday,1,0,20
3,0,19,Tuesday,1,0,20
3,0,20,Tuesday,1,0,18
3,0,21,Tuesday,1,0,21
3,0,22,Tuesday,1,0,22
3,0,23,Tuesday,1,0,22
3,0,24,Tuesday,1,0,22
3,0,25,Tuesday,1,0,21
3,0,26,Tuesday,1,0,20
3,0,27,Tuesday,1,0,18
3,0,28,Tuesday,1,0,18
3,0,29,Tuesday,1,0,19
3,0,30,Tuesday,1,0,18
3,0,31,Tuesday,1,0,20
3,0,32,Tuesday,1,0,20
3,0,33,Tuesday,1,0,18
3,0,34,Tuesday,1,0,16
3,0,35,Tuesday,1,0,18
3,0,36,Tuesday,1,0,15
3,0,37,Tuesday,1,0,16
3,0,38,Tuesday,1,0,17
3,0,39,Tuesday,1,0,17
3,0,40,Tuesday,1,0,18
3,0,41,Tuesday,1,0,14
3,0,42,Tuesday,1,0,13
3,0,43,Tuesday,1,0,13
3,0,44,Tuesday,1,0,14
3,0,45,Tuesday,1,0,15
3,0,46,Tuesday,1,0,14
3,0,47,Tuesday,1,0,15
3,0,48,Tuesday,1,0,14
3,0,49,Tuesday,1,0,12
3,0,50,Tuesday,1,0,11
3,0,51,Tuesday,1,0,9
3,0,52,Tuesday,1,0,9
3,0,53,Tuesday,1,0,8
3,0,54,Tuesday,1,0,7
3,0,55,Tuesday,1,0,9
3,0,56,Tuesday,1,0,9
3,0,57,Tuesday,1,0,10
3,0,58,Tuesday,1,0,11
3,0,59,Tuesday,1,0,11
3,1,0,Tuesday,1,0,9
3,1,1,Tuesday,1,0,10
3,1,2,Tuesday,1,0,11
3,1,3,Tuesday,1,0,11
3,1,4,Tuesday,1,0,10
3,1,5,Tuesday,1,0,10
3,1,6,Tuesday,1,0,8
3,1,7,Tuesday,1,0,7
3,1,8,Tuesday,1,0,7
3,1,9,Tuesday,1,0,8
3,1,10,Tuesday,1,0,6
3,1,11,Tuesday,1,0,6
3,1,12,Tuesday,1,0,7
3,1,13,Tuesday,1,0,7
3,1,14,Tuesday,1,0,6
3,1,15,Tuesday,1,0,6
3,1,16,Tuesday,1,0,6
3,1,17,Tuesday,1,0,6
3,1,18,Tuesday,1,0,7
3,1,19,Tuesday,1,0,6
3,1,20,Tuesday,1,0,7
3,1,21,Tuesday,1,0,7
3,1,22,Tuesday,1,0,7
3,1,23,Tuesday,1,0,5
3,1,24,Tuesday,1,0,7
3,1,25,Tuesday,1,0,7
3,1,26,Tuesday,1,0,7
3,1,27,Tuesday,1,0,7
3,1,28,Tuesday,1,0,7
3,1,29,Tuesday,1,0,4
3,1,30,Tuesday,1,0,5
3,1,31,Tuesday,1,0,6
3,1,32,Tuesday,1,0,6
3,1,33,Tuesday,1,0,4
3,1,34,Tuesday,1,0,3
3,1,35,Tuesday,1,0,5
3,1,36,Tuesday,1,0,4
3,1,37,Tuesday,1,0,4
3,1,38,Tuesday,1,0,5
3,1,39,Tuesday,1,0,5
3,1,40,Tuesday,1,0,4
3,1,41,Tuesday,1,0,4
3,1,42,Tuesday,1,0,5
3,1,43,Tuesday,1,0,3
3,1,44,Tuesday,1,0,3
3,1,45,Tuesday,1,0,2
3,1,46,Tuesday,1,0,4
3,1,47,Tuesday,1,0,3
3,1,48,Tuesday,1,0,3
3,1,49,Tuesday,1,0,3
3,1,50,Tuesday,1,0,4
3,1,51,Tuesday,1,0,4
3,1,52,Tuesday,1,0,2
3,1,53,Tuesday,1,0,2
3,1,54,Tuesday,1,0,2
3,1,55,Tuesday,1,0,3
3,1,56,Tuesday,1,0,3
3,1,57,Tuesday,1,0,3
3,1,58,Tuesday,1,0,4
3,1,59,Tuesday,1,0,2
3,2,0,Tuesday,1,0,2
3,2,1,Tuesday,1,0,2
3,2,2,Tuesday,1,0,3
3,2,3,Tuesday,1,0,3
3,2,4,Tuesday,1,0,4
3,2,5,Tuesday,1,0,4
3,2,6,Tuesday,1,0,4
3,2,7,Tuesday,1,0,4
3,2,8,Tuesday,1,0,3
3,2,9,Tuesday,1,0,1
3,2,10,Tuesday,1,0,1
3,2,11,Tuesday,1,0,1
3,2,12,Tuesday,1,0,0
3,2,13,Tuesday,1,0,1
3,2,14,Tuesday,1,0,0
3,2,15,Tuesday,1,0,0
3,2,16,Tuesday,1,0,0
3,2,17,Tuesday,1,0,1
3,2,18,Tuesday,1,0,1
3,2,19,Tuesday,1,0,1
3,2,20,Tuesday,1,0,0
3,2,21,Tuesday,1,0,0
3,2,22,Tuesday,1,0,0
3,2,23,Tuesday,1,0,0
3,2,24,Tuesday,1,0,0
3,2,25,Tuesday,1,0,0
3,2,26,Tuesday,1,0,0
3,2,27,Tuesday,1,0,0
3,2,28,Tuesday,1,0,0
3,2,29,Tuesday,1,0,0
3,2,30,Tuesday,1,0,0
3,2,31,Tuesday,1,0,0
3,2,32,Tuesday,1,0,0
