,Month,Date,Hour,Minute,Weekday,Weekday_number,Is_lesson,Online_friends
0,03,02,22,5,Monday,0,0,32
1,03,02,22,6,Monday,0,0,34
2,03,02,22,7,Monday,0,0,31
3,03,02,22,8,Monday,0,0,33
4,03,02,22,9,Monday,0,0,36
5,03,02,22,10,Monday,0,0,37
6,03,02,22,11,Monday,0,0,38
7,03,02,22,12,Monday,0,0,42
8,03,02,22,13,Monday,0,0,39
9,03,02,22,14,Monday,0,0,43
10,03,02,22,15,Monday,0,0,40
11,03,02,22,16,Monday,0,0,41
12,03,02,22,17,Monday,0,0,42
13,03,02,22,18,Monday,0,0,44
14,03,02,22,19,Monday,0,0,41
15,03,02,22,20,Monday,0,0,46
16,03,02,22,21,Monday,0,0,47
17,03,02,22,22,Monday,0,0,44
18,03,02,22,23,Monday,0,0,48
19,03,02,22,24,Monday,0,0,50
20,03,02,22,25,Monday,0,0,49
21,03,02,22,26,Monday,0,0,49
22,03,02,22,27,Monday,0,0,47
23,03,02,22,28,Monday,0,0,46
24,03,02,22,29,Monday,0,0,48
25,03,02,22,30,Monday,0,0,47
26,03,02,22,31,Monday,0,0,47
27,03,02,22,32,Monday,0,0,47
28,03,02,22,33,Monday,0,0,49
29,03,02,22,34,Monday,0,0,46
30,03,02,22,35,Monday,0,0,44
31,03,02,22,36,Monday,0,0,39
32,03,02,22,37,Monday,0,0,38
33,03,02,22,38,Monday,0,0,41
34,03,02,22,39,Monday,0,0,37
35,03,02,22,40,Monday,0,0,43
36,03,02,22,41,Monday,0,0,47
37,03,02,22,42,Monday,0,0,48
38,03,02,22,43,Monday,0,0,47
39,03,02,22,44,Monday,0,0,46
40,03,02,22,45,Monday,0,0,47
41,03,02,22,46,Monday,0,0,44
42,03,02,22,47,Monday,0,0,41
43,03,02,22,48,Monday,0,0,39
44,03,02,22,49,Monday,0,0,39
45,03,02,22,50,Monday,0,0,39
46,03,02,22,51,Monday,0,0,37
47,03,02,22,52,Monday,0,0,37
48,03,02,22,53,Monday,0,0,40
49,03,02,22,54,Monday,0,0,42
50,03,02,22,55,Monday,0,0,44
51,03,02,22,56,Monday,0,0,41
52,03,02,22,57,Monday,0,0,36
53,03,02,22,58,Monday,0,0,36
54,03,02,22,59,Monday,0,0,35
55,03,02,23,0,Monday,0,0,35
56,03,02,23,1,Monday,0,0,33
57,03,02,23,2,Monday,0,0,34
58,03,02,23,3,Monday,0,0,35
59,03,02,23,4,Monday,0,0,34
60,03,02,23,5,Monday,0,0,33
61,03,02,23,6,Monday,0,0,30
62,03,02,23,7,Monday,0,0,30
63,03,02,23,8,Monday,0,0,28
64,03,02,23,9,Monday,0,0,22
65,03,02,23,10,Monday,0,0,22
66,03,02,23,11,Monday,0,0,24
67,03,02,23,12,Monday,0,0,25
68,03,02,23,13,Monday,0,0,26
69,03,02,23,14,Monday,0,0,28
70,03,02,23,15,Monday,0,0,29
71,03,02,23,16,Monday,0,0,32
72,03,02,23,17,Monday,0,0,36
73,03,02,23,18,Monday,0,0,33
74,03,02,23,19,Monday,0,0,29
75,03,02,23,20,Monday,0,0,28
76,03,02,23,21,Monday,0,0,33
77,03,02,23,22,Monday,0,0,33
78,03,02,23,23,Monday,0,0,31
79,03,02,23,24,Monday,0,0,31
80,03,02,23,25,Monday,0,0,30
81,03,02,23,26,Monday,0,0,28
82,03,02,23,27,Monday,0,0,27
83,03,02,23,28,Monday,0,0,27
84,03,02,23,29,Monday,0,0,30
85,03,02,23,30,Monday,0,0,27
86,03,02,23,31,Monday,0,0,27
87,03,02,23,32,Monday,0,0,27
88,03,02,23,33,Monday,0,0,23
89,03,02,23,34,Monday,0,0,22
90,03,02,23,35,Monday,0,0,20
91,03,02,23,36,Monday,0,0,20
92,03,02,23,37,Monday,0,0,21
